StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,consent,age,gender,gender_3_TEXT,occupation,education,country,mus_instrument,mus_instrument_1_TEXT,mus_lessons,mus_lessons_1_TEXT,mus_playing,mus_listening,div_musicians_1,div_genres_1,OMSI 1-question ,dminfug_fast_valence_1,dminfug_fast_arousal_1,dminfug_fast_auth_1,dminfug_fas1_valence_1,dminfug_fas1_arousal_1,dminfug_fas1_auth_1,dminfug_maj_valence_1,dminfug_maj_arousal_1,dminfug_maj_auth_1,dminfug_pedl_valence_1,dminfug_pedl_arousal_1,dminfug_pedl_auth_1,dminfug_orig_valence_1,dminfug_orig_arousal_1,dminfug_orig_auth_1,eminpre_pedl_valence_1,eminpre_pedl_arousal_1,eminpre_pedl_auth_1,eminpre_fast_valence_1,eminpre_fast_arousal_1,eminpre_fast_auth_1,eminpre_orig_valence_1,eminpre_orig_arousal_1,eminpre_orig_auth_1,eminpre_maj_valence_1,eminpre_maj_arousal_1,eminpre_maj_auth_1,bmajpre_fast_valence_1,bmajpre_fast_arousal_1,bmajpre_fast_auth_1,bmajpre_min_valence_1,bmajpre_min_arousal_1,bmajpre_min_auth_1,bmajpre_orig_valence_1,bmajpre_orig_arousal_1,bmajpre_orig_auth_1,bmajpre_pedl_valence_1,bmajpre_pedl_arousal_1,bmajpre_pedl_auth_1,amajfug_orig_valence_1,amajfug_orig_arousal_1,amajfug_orig_auth_1,amajfug_fast_valence_1,amajfug_fast_arousal_1,amajfug_fast_auth_1,amajfug_min_valence_1,amajfug_min_arousal_1,amajfug_min_auth_1,amajfug_pedl_valence_1,amajfug_pedl_arousal_1,amajfug_pedl_auth_1,context_knowledge_1,context_knowledge_2,context_knowledge_3,context_knowledge_4,context_knowledge_5,context_knowledge_6,context_knowledge_6_TEXT,context_associations,feedback,FL_19_DO_DMinorFuguefast,FL_19_DO_DMinorFuguefast-Copy,FL_19_DO_DMinorFuguemajor,FL_19_DO_DMinorFuguenopedal,FL_19_DO_DMinorFugueoriginal,FL_19_DO_EMinorPreludenopedal,FL_19_DO_EMinorPreludefast,FL_19_DO_EMinorPreludeoriginal,FL_19_DO_EMinorPreludeMajor,FL_19_DO_BMajorPreludefast,FL_19_DO_BMajorPreludeminor,FL_19_DO_BMajorPreludeoriginal,FL_19_DO_BMajorPreludenopedal,FL_19_DO_AMajorFugueoriginal,FL_19_DO_AMajorFuguefast,FL_19_DO_AMajorFugueminor,FL_19_DO_AMajorFuguenopedal
2/11/2023 6:07,2/11/2023 7:15,0,100,4081,1,2/11/2023 7:15,R_1ZjuXSWjzrLnI2Z,anonymous,EN,1,24,1,,2,4,169,1,Piano and Cello,1,10,6,3,5,7,6,3,5,4,5,6,7,6,6,6,6,6,7,6,6,6,2,3,5,3,3,4,2,3,7,6,6,6,6,7,8,6,5,6,4,6,8,3,6,8,7,6,9,8,8,8,5,6,8,8,6,9,,1,,,,,,I played a piece of it on the piano and really liked it. And I really assiciate it with my theory lessons at school.,"I prefered the versions whithout lots of pedals. But I also felt, that the versions with lots of pedal were seemed sader to me and had more the emotions of film music and just giving a mood to the moment. I hope that is understandable ;)",13,8,2,15,12,17,1,6,10,11,5,4,14,3,9,7,16
2/11/2023 7:34,2/11/2023 7:56,0,100,1329,1,2/11/2023 7:56,R_299Ti5euFIDKbEr,anonymous,EN,1,20,1,,2,3,169,1,Accordion,1,14,2.5,10,4,4,4,5,3,7,6,8,7,5,4,5,6,3,7,4,6,7,6,6,5,7,7,6,3,7,7,9,8,8,7,8,7,7,7,6,8,3,8,7,7,8,7,2,3,7,9,6,6,3,3,5,2,4,,1,,,,,,No,,2,7,5,3,15,17,12,6,10,1,11,9,14,16,8,13,4
2/11/2023 13:52,2/11/2023 14:05,0,100,778,1,2/11/2023 14:05,R_1mJcgbi2cKFt5XD,anonymous,EN,1,19,1,,2,3,185,1,"piano, voice",1,10,5,10,7,5,2,3,4,7,3,3,7,6,6,7,4,6,7,3,2,7,2,6,7,3,8,8,2,7,8,8,8,8,7,6,8,8,4,8,6,4,8,6,4,8,7,7,7,8,8,7,6,7,7,6,7,6,1,,,,,,,Comment on baroque style - it was interesting how some of the pieces felt lighthearted and others a lot more sombre depending on the key and tempo.,,12,6,13,15,7,11,14,17,9,2,1,10,3,4,16,8,5
2/11/2023 15:58,2/11/2023 16:53,0,100,3314,1,2/11/2023 16:53,R_2floWhO5fGkdxtb,anonymous,EN,1,55,1,,4,3,169,2,,,,,5,6,4,2,4,7,7,4,7,8,3,6,4,5,5,2,4,5,6,7,6,7,5,6,7,6,5,4,7,6,6,5,7,7,4,4,4,5,6,6,6,6,7,7,7,5,7,7,5,4,6,4,6,6,5,1,,,,,,,no,For me it would have been easier to listen to all the excerpts before answering the questions in order to know what is coming next/to compare.,9,11,8,2,5,13,1,14,4,16,3,17,15,10,6,12,7
2/12/2023 5:14,2/12/2023 5:26,0,100,743,1,2/12/2023 5:26,R_2xymnuIDSuELcrN,anonymous,EN,1,22,2,,2,3,185,1,Piano/singing,1,10,22,5,5,5,5,5,6,8,5,6,6,7,6,7,4,6,5,5,6,7,6,7,7,6,7,6,4,6,6,6,6,7,7,6,8,7,6,6,4,6,8,6,5,7,7,6,7,6,6,7,6,6,4,5,4,8,,,,,,1,Not familiar with the pieces but more so with the genre,No,No - good luck :),8,15,12,1,6,5,2,16,3,14,10,7,9,4,13,17,11
2/12/2023 22:59,2/12/2023 23:25,0,100,1606,1,2/12/2023 23:25,R_1mt9dsW2VuvyzEI,anonymous,EN,1,57,1,,3,4,185,1,French horn,1,11,3,3,4,1,6,4,5,1,5,3,2,7,6,1,5,3,3,4,6,1,3,7,2,3,7,7,4,8,7,3,7,5,5,5,9,7,7,8,7,7,3,5,6,8,6,7,7,7,6,8,5,5,7,6,6,8,1,,,,,,,No,,13,9,17,11,15,10,5,4,6,12,2,16,3,8,7,14,1
2/13/2023 15:25,2/13/2023 15:46,0,100,1221,1,2/13/2023 15:46,R_1qX5sgPYwUlzSFZ,anonymous,EN,1,51,2,,3,4,185,1,Horn,1,7,25,3,10,2,6,1,1,1,4,3,1,1,1,1,5,5,5,1,1,1,1,1,1,1,1,1,2,3,1,3,2,1,1,1,1,5,5,5,6,6,6,7,6,4,7,6,7,5,5,5,1,1,1,7,5,7,,,,,,1,I knew it was trying to be Bach and sometimes almost succeeded ,No,,15,1,12,16,6,14,5,4,2,7,9,10,17,13,8,11,3
2/12/2023 23:04,2/13/2023 22:09,0,100,83068,1,2/13/2023 22:09,R_3HNtK905nUxV7U7,anonymous,EN,1,63,1,,8,5,185,1,Bassoon ,1,2,2,1,6,1,3,4,9,9,3,8,8,4,7,6,7,5,5,4,7,8,3,8,7,6,6,4,5,5,7,8,8,8,8,8,8,3,7,7,7,7,8,6,6,7,7,7,8,8,7,7,5,7,7,8,8,8,,1,,,,,,No,,11,14,9,2,13,15,1,5,12,7,10,4,6,16,3,17,8
2/14/2023 9:28,2/14/2023 9:43,0,100,903,1,2/14/2023 9:43,R_1nYOC5UDehaYEpn,anonymous,EN,1,31,1,,2,5,122,1,Piano,1,6,0,15,2,2,3,4,6,6,4,4,7,6,4,8,6,4,6,4,4,6,3,6,6,4,6,3,3,6,4,7,6,7,7,7,6,7,3,7,7,7,6,7,4,5,7,3,7,7,6,6,7,6,6,7,4,5,,,,,,1,not familiar,No,,12,2,6,3,8,10,1,4,17,14,13,7,16,5,9,15,11
2/14/2023 15:15,2/14/2023 15:31,0,100,955,1,2/14/2023 15:31,R_QgATV8xtAVs9s53,anonymous,EN,1,43,1,,3,5,65,1,piano,1,5,2,4,2,2,3,5,6,7,5,6,7,5,6,3,5,6,7,5,6,8,4,7,8,4,6,6,3,6,8,6,6,6,6,7,8,5,5,8,5,6,7,4,6,8,6,3,4,6,7,8,5,6,3,5,6,7,1,1,,1,,1,I recognized more than one.,mo,"All in all, I don’t think that many pieces from the WTC are aprticularly expressive or meant to be expressive. Bach had other main purposes when composing these pieces. Therefore, I didn’t give high ratings. Also, I found most of them relatively similar in terms of tempo and general feeling. ",14,13,7,9,3,11,2,5,8,15,6,4,17,1,16,12,10
2/16/2023 9:27,2/16/2023 9:45,0,100,1069,1,2/16/2023 9:45,R_1eEriwrz87EzBup,anonymous,EN,1,19,3,,1,1,185,2,,,,,1,9,9,1,3,4,7,2,5,6,8,4,8,3,2,4,2,1,4,1,6,3,3,6,4,2,8,2,7,8,7,7,3,8,7,2,8,6,4,6,8,4,8,6,4,7,6,5,6,1,5,6,3,5,6,,1,,,,,,typical classical music to me,It was easy listening but I'm quite sure what the aim of the study was ,9,12,7,16,13,17,10,3,4,5,2,15,6,8,14,1,11
2/19/2023 12:54,2/19/2023 13:12,0,100,1026,1,2/19/2023 13:12,R_1Fht9FDeGYSDLIi,anonymous,EN,1,21,1,,2,3,185,1,Voice ,1,12,25,18,2,1,3,5,5,9,3,1,9,3,1,9,3,1,5,7,5,9,7,5,9,7,9,9,5,5,5,7,5,9,3,5,5,5,1,5,5,5,5,1,1,5,5,1,9,5,1,5,5,1,5,3,5,5,1,,,,,,,No,A lot of it sounded the same,12,1,2,16,8,10,4,11,3,15,7,13,17,6,5,9,14
2/19/2023 22:59,2/19/2023 23:21,0,100,1316,1,2/19/2023 23:21,R_1KoLvqv6riXvmOA,anonymous,EN,1,21,1,,2,3,185,1,Piano and a singer,1,13,6,10,5,6,4,4,6,6,3,8,8,3,7,9,3,6,5,1,6,6,2,9,9,7,7,7,3,8,9,5,4,4,7,5,8,6,4,4,6,7,7,5,4,5,7,7,7,7,7,7,4,7,5,7,6,6,,1,,,,,,No,,7,14,9,13,6,11,17,5,8,1,12,15,2,16,10,4,3
2/21/2023 12:44,2/21/2023 12:59,0,100,941,1,2/21/2023 12:59,R_r2OKbjKfjDeAM6J,anonymous,EN,1,20,1,,2,3,65,1,Violin,1,11,2,3,4,3,3,4,4,7,5,5,4,1,1,2,5,5,3,5,2,7,7,7,8,4,7,8,3,4,2,7,6,4,7,6,7,6,3,3,8,8,7,7,3,7,6,3,2,5,3,6,3,1,1,5,3,2,,,1,,,,,No,,3,4,17,1,8,12,6,7,2,13,5,16,10,11,14,15,9
2/22/2023 21:25,2/22/2023 21:45,0,100,1215,1,2/22/2023 21:45,R_2S6RgYm29qBarLQ,anonymous,EN,1,23,1,,2,3,65,1,Piano,1,10,1,5,7,4,2,3,7,4,5,4,8,7,6,5,4,5,5,4,3,8,6,4,8,6,6,9,4,4,5,9,3,9,4,7,4,5,7,4,6,3,8,7,6,8,5,7,2,6,5,5,4,8,2,5,4,3,,,,,,1,I didn’t recognize anything at all,I have played pieces from the well tempered clavier but I didn’t like it and it didn’t influence my ratings because I didn’t recognize it haha ,,17,9,1,3,4,5,14,15,12,6,2,16,8,13,7,10,11
2/23/2023 10:41,2/23/2023 11:03,0,100,1323,1,2/23/2023 11:03,R_3UGjwwjQdKMOBRD,anonymous,EN,1,31,1,,2,4,48,2,,,,,30,10,10,2,3,4,3,4,3,5,2,5,1,5,6,5,3,3,7,3,7,7,4,4,5,4,6,6,5,6,7,6,6,7,5,5,5,6,5,6,7,6,8,7,7,6,7,8,5,5,6,3,6,7,7,1,1,,,,,,No,Was fun,9,11,13,16,10,6,4,12,5,1,14,8,3,15,2,17,7
2/23/2023 15:56,2/23/2023 16:07,0,100,611,1,2/23/2023 16:07,R_1kFC6IpGtegpiHs,anonymous,EN,1,20,1,,2,3,185,1,Voice ,1,8,13,7,3,5,3,7,7,9,2,6,9,6,4,9,6,6,9,2,2,9,3,4,7,7,6,9,3,2,9,8,4,9,9,7,9,6,4,9,4,3,9,4,6,9,4,3,9,7,7,9,7,3,8,7,6,8,1,1,,,,,,No,,10,14,5,6,8,2,9,7,16,11,12,15,17,4,13,1,3
2/23/2023 22:40,2/23/2023 22:52,0,100,723,1,2/23/2023 22:52,R_2zTKy4rZUHfOPqn,anonymous,EN,1,20,1,,2,3,185,1,"Violin, voice, viola, flute, piano, guitar",1,15,14,21,7,8,5,3,8,6,3,7,3,3,8,3,3,7,3,3,3,7,3,7,4,3,8,3,3,7,2,9,7,7,7,7,6,7,6,6,9,6,9,7,7,7,6,6,3,7,8,6,3,6,4,7,6,3,,1,,,,,,No,,14,9,4,1,15,11,13,16,7,12,17,6,2,10,3,5,8
2/26/2023 23:55,2/27/2023 0:35,0,100,2372,1,2/27/2023 0:35,R_VQdG3mUgVHthb0J,anonymous,EN,1,20,1,,2,3,185,1,"oboe, piano, clarinet",1,4,0.5,30,6,9,4,3,7,6,3,7,7,5,6,7,4,5,5,3,3,7,3,5,5,4,6,7,3,3,6,7,4,4,6,8,6,6,4,6,7,4,4,7,5,7,7,4,6,7,6,5,4,6,6,6,3,3,1,1,,,,,,"I could recognise Bach's compositional style, and I remember that his pieces were written strictly (following counterpoint rules), which -when compared to later and more modern piano pieces- limits its emotional expression, in my opinion, so limited my scores to the middle rather than the ""very"" ratings.","The definition of authenticity felt unclear, however, I only realised that I wasn't sure after I had gone past the page with all the explanations for the ratings as I only remembered the emotional valence and arousal explanation. Overall, very informative and clear! I appreciated the explanation of emotional valence and arousal at the beginning!",5,15,11,6,7,2,10,12,4,13,16,14,1,8,3,9,17
2/27/2023 16:57,2/27/2023 17:23,0,100,1540,1,2/27/2023 17:23,R_1pRP19pxkFSV1Eb,anonymous,EN,1,44,1,,4,5,65,1,Violin,1,12,0,3,4,4,2,3,6,4,3,6,4,3,3,7,3,4,4,4,3,7,5,4,3,7,7,5,4,6,3,8,2,6,7,7,7,7,7,6,7,3,7,7,4,7,7,7,6,7,6,5,6,5,4,7,6,3,,1,,,,,,Positive autobiographischen memories. I tried to split these from my ratings.,,6,4,13,7,16,11,14,5,9,3,2,10,1,17,15,8,12
2/27/2023 22:45,2/27/2023 23:20,0,100,2088,1,2/27/2023 23:20,R_1DoQ8nV0siJOppb,anonymous,EN,1,24,1,,2,4,138,2,,,,,20,6,5,2,6,2,5,7,6,6,5,1,4,7,4,5,7,4,5,6,5,5,7,6,6,6,1,5,7,3,6,7,4,5,5,3,5,6,3,6,6,1,5,7,5,6,5,3,4,5,1,5,5,2,4,1,,,,,,,no,,13,10,4,11,12,9,8,14,2,6,7,16,17,1,5,15,3
2/28/2023 0:22,2/28/2023 0:39,0,100,1044,1,2/28/2023 0:39,R_saFYnSeqGDRUZXj,anonymous,EN,1,20,1,,2,3,185,2,,,,,20,10,4,2,4,4,8,7,5,8,6,6,7,6,7,3,4,6,6,3,6,7,7,8,8,4,7,7,8,4,7,6,4,7,5,4,3,6,5,7,6,5,6,7,7,6,8,6,4,7,7,3,7,6,3,,,,,,1,Not at all,None at all,,7,16,2,3,4,11,17,14,10,13,15,6,9,8,1,5,12
2/28/2023 12:10,2/28/2023 12:26,0,100,992,1,2/28/2023 12:26,R_Tubx7VyUgaFaQYF,anonymous,EN,1,23,2,,2,3,65,1,Clarinet and piano ,1,,5,7,5,5,5,4,6,6,4,4,6,3,6,7,5,4,6,4,4,6,3,6,7,4,8,7,3,6,7,5,7,7,6,7,7,5,7,7,5,6,7,6,7,7,5,6,7,5,7,7,5,5,6,5,6,7,1,,,,,,,No,,3,2,10,4,5,13,8,15,17,16,9,12,1,7,14,11,6
2/28/2023 15:05,2/28/2023 15:16,0,100,652,1,2/28/2023 15:16,R_1DYfJXK9sldXww2,anonymous,EN,1,30,2,,2,5,65,1,Trombone,1,15,10,15,4,3,5,4,3,2,6,4,2,3,2,2,5,5,4,3,5,2,5,4,5,3,6,2,4,5,4,5,3,3,4,2,5,7,3,3,6,3,4,6,3,5,4,4,3,4,4,3,5,5,5,4,5,5,1,,,,,,,No,,10,15,9,4,6,8,17,14,7,13,1,11,5,3,2,12,16
2/28/2023 15:03,2/28/2023 15:39,0,100,2193,1,2/28/2023 15:39,R_VW6STYv3ndS3jdD,anonymous,EN,1,22,2,,2,4,65,1,"Piano, Organ, Trumpet",1,10,7,0.5,3,2,3,5,5,5,4,5,8,3,5,3,4,4,6,4,5,7,5,5,3,4,7,4,4,7,2,4,6,1,8,8,6,8,4,8,7,4,8,8,4,8,6,5,5,7,7,7,3,7,2,7,5,6,1,1,,,,,,,,12,8,3,15,1,7,9,4,13,2,17,6,11,16,5,10,14
2/28/2023 18:39,2/28/2023 18:55,0,100,977,1,2/28/2023 18:55,R_UyJvnjxV9jBw9vH,anonymous,EN,1,19,2,,2,3,65,1,Piano,1,10,6,12,7,4,4,6,6,4,6,5,3,3,4,2,8,4,7,6,4,1,2,5,2,3,6,3,2,5,1,7,4,2,4,7,3,5,5,2,6,5,2,7,3,6,7,7,7,7,7,4,6,6,2,7,7,6,1,1,1,,,,,,,17,13,11,14,2,1,15,3,5,12,10,7,8,16,6,4,9
2/28/2023 18:04,2/28/2023 20:29,0,100,8723,1,2/28/2023 20:29,R_3kaZYTRuBd43Ptd,anonymous,EN,1,19,1,,2,3,185,2,,,,,14,5,3,2,5,5,5,7,8,7,3,1,5,5,9,3,5,5,5,3,9,9,5,5,5,3,7,9,4,5,8,7,7,7,8,3,9,3,5,5,3,5,9,7,6,7,5,9,6,5,1,3,5,4,5,,1,,,,,,No ,,3,17,7,13,9,5,10,11,14,2,12,16,15,1,8,6,4
2/28/2023 22:33,2/28/2023 22:42,0,100,513,1,2/28/2023 22:42,R_yW5vccRdGf6xw2d,anonymous,EN,1,21,1,,2,4,67,2,,,,,45,8,4,2,3,3,2,3,2,7,6,8,8,7,1,2,4,3,7,7,3,6,8,8,9,8,8,7,8,6,5,7,8,9,7,7,6,8,7,7,7,3,6,7,6,6,9,9,8,3,1,1,5,6,5,,1,,,,,,no,,13,9,2,12,11,4,14,17,1,10,16,6,7,5,3,15,8
3/1/2023 8:26,3/1/2023 8:48,0,100,1308,1,3/1/2023 8:48,R_1CqhB6j7v5oD5Ui,anonymous,EN,1,26,1,,4,4,65,1,"Piano, Viola",1,10,5,0.5,1,1,4,4,8,9,6,8,8,7,6,9,5,3,4,7,4,8,4,7,8,6,9,6,3,6,3,9,6,7,8,8,8,7,6,9,9,4,9,6,8,4,4,4,5,6,8,6,6,6,2,6,6,3,,,,,,1,I did not know these pieces,no,,17,10,11,3,14,6,4,1,8,9,7,13,12,2,16,5,15
